datetime,sec_code,open,high,low,close,volume,openinterest,ROE,EP
2021-08-31,603859.SH,37.0590838,37.5958784,36.1171612,36.4412636,3158900.0,0,0.0752648542714105,0.0224541433431718
2021-08-31,300427.SZ,52.25634519,53.48864905999999,48.22637848,48.92579419,17401497.0,0,0.0607554569493274,0.0268726337492556
2021-08-31,000622.SZ,8.586632,8.788670399999999,8.586632,8.6623964,3520200.0,0,-0.0201791071873755,-0.0028055586808587
2021-08-31,000488.SZ,74.91543644,78.82236924,73.7433566,76.77122952,56760714.0,0,0.1334682469085567,0.1371425109252617
2021-08-31,000065.SZ,116.92220301,119.5618809,115.83527681999999,119.5618809,9518500.0,0,0.1386230132968825,0.1281997527770635
2021-08-31,000029.SZ,15.491884649999998,15.808507109999999,15.333573419999999,15.69542766,2952494.0,0,0.0874654757745511,0.0463474715722457
2021-08-31,000014.SZ,37.817821200000004,38.687196400000005,37.54614145,38.41551665000001,2133205.0,0,-0.0453827511014926,-0.0283791446888196
2021-08-31,603858.SH,38.4670503,38.733470999999994,38.2006296,38.631001499999996,4291068.0,0,0.1420202479924727,0.0885476670112049
2021-08-31,300426.SZ,31.880177789999998,33.49181395,31.67872327,32.98817765,4070250.0,0,-2.1899614668244576,-0.0425871748956081
2021-08-31,000620.SZ,3.2634637200000003,3.3129101399999996,3.23049944,3.296428,12922916.0,0,-0.2204554852616739,-0.3812990424868598
2021-08-31,000430.SZ,27.85855172,27.950798579999997,27.397317420000004,27.812428290000003,4488265.0,0,-0.0571758274393997,-0.0356840194311625
2021-08-31,000063.SZ,523.93042436,530.15439224,518.18522324,529.8352144,65312931.00000001,0,0.14712296983153,0.0420925728883881
2021-08-31,000028.SZ,138.0327176,139.09293936,137.8288288,138.97060607999998,1404088.0,0,0.1088970864169427,0.1027983330712349
2021-08-31,000012.SZ,338.70802963999995,342.49549962,313.00734049,317.60641118,137896528.0,0,0.1663025785672509,0.0482768360205737
2021-08-31,603856.SH,15.899517320000001,16.025926910000003,15.773107730000001,15.941653850000002,1292580.0,0,0.1626184787432472,0.1045793497024138
2021-08-31,300425.SZ,51.8683001,54.119817950000005,49.61678225,50.11711955,35365739.0,0,0.101586192187736,0.0452521884948396
2021-08-31,000619.SZ,48.20172204,49.32269232,47.92147947,49.22927813,4783500.0,0,0.0082004843233533,0.0106366577746152
2021-08-31,000429.SZ,27.075096300000002,27.34977119,26.878899949999997,27.192814109999997,4556673.0,0,0.1993097950279011,0.1167819205692944
2021-08-31,000062.SZ,110.76088135,113.99907323000001,108.62661852,110.90807189,7052920.0,0,0.1401862173049102,0.0492347175798195
2021-08-31,000027.SZ,130.20347068,133.0669364,129.6981532,131.88786228,32877918.0,0,0.0725593758826198,0.0753283915589281
2021-08-31,000011.SZ,47.30251680000001,48.5809632,46.992590400000005,47.2250352,12063599.0,0,0.3457820260260895,0.1738448032523578
2021-08-31,603855.SH,29.71262833,30.373424200000002,29.098204100000004,29.770592880000002,8433876.0,0,0.1988341789755705,0.0357084839020047
2021-08-31,300424.SZ,33.18380985,36.20880295,32.2179988,34.96964915,29030033.0,0,-0.3558021106511588,-0.0692904858197245
2021-08-31,000617.SZ,37.5305014,38.40499852,37.457626639999994,38.332123759999995,14233006.0,0,0.0823109642239357,0.1093623794070779
2021-08-31,000428.SZ,42.36369655000001,42.727854400000005,41.39260895,41.7567668,11599830.0,0,-0.205772893860076,-0.1252767589239769
2021-08-31,000061.SZ,125.24417391999998,128.71714927999997,124.15886911999999,127.41478352,16627538.0,0,0.0635425200900209,0.0344385641566208
2021-08-31,000026.SZ,98.9162334,102.1815841,98.2790918,101.3055144,5869723.0,0,0.1640459372610214,0.0829796169382808
2021-08-31,000010.SZ,39.8658313,41.05103169,39.8658313,40.51230424,4233300.0,0,0.1143050180656923,0.0172290321706231
2021-08-31,603848.SH,13.799097,14.117537700000002,13.57618851,14.000776109999999,1700200.0,0,0.2000556587804208,0.0592325099136162
2021-08-31,300423.SZ,46.37814188,46.37814188,43.65397256,44.93197792,10840204.0,0,0.1158036476793385,0.0683750876195942
2021-08-31,000616.SZ,54.65634164,57.48827644,54.37314816,55.505922080000005,29755477.0,0,0.0647923554262639,0.1048962040625199
2021-08-31,000426.SZ,187.09626845,197.25534184999998,181.84741386,193.19171249,103245810.0,0,0.0008304072763843,0.0002081734360963
2021-08-31,000060.SZ,225.54405742,233.62669429,222.08007018999996,233.62669429,183695625.0,0,0.0942904432024303,0.0511894809322584
2021-08-31,000025.SZ,42.17504841,42.31206936,40.311563490000005,40.77743472,5681981.0,0,0.0583728891773249,0.0119441523324597
2021-08-31,000009.SZ,240.49208250000004,249.02710650000003,234.71316000000002,249.02710650000003,65693338.0,0,0.183018913299454,0.0167060318673654
2021-08-31,603843.SH,5.4377506,5.62377891,5.39482099,5.50929995,7355100.0,0,0.0750433217543232,0.0412391260962855
